"id","fecha","pais","sector","tipo_operacion","monto_usd","volumen_ton","empleados","arancel_pct","partida_arancelaria","num_factura"
23,"18 de enero 2024","AL","MANUFACTURA","EXPORTACIÓN",242501.25,560,270,4.46,"9006.37.22","FAC-2024-34340"
24,"2024-09-17","AR","LOGÍSTICA","EXPORTACIÓN",62067.53,50.4,368,18.51,"9251.66.70","FAC-2024-77395"
25,"2022-03-25","CO","EDUCACIÓN","IMPORTACIÓN",14473.41,7,92,14.41,"1023.68.43","FAC-2022-43557"
26,"04/05/2022","ES","MANUFACTURA","EXPORTACIÓN",215379.01,720.3,236,17.73,"6415.28.25","FAC-2022-36703"
29,"2022-08-20","EC","MINERÍA","EXPORTACIÓN",583911.27,3987.4,184,12.18,"8513.95.53","FAC-2022-44454"
30,"2023-01-15","CO","TECNOLOGÍA","IMPORTACIÓN",625182.61,31.5,479,15.9,"3453.23.89","FAC-2023-88737"
32,"05/20/2022","BR","MANUFACTURA","IMPORTACIÓN",146145.09,211.6,254,0.66,"5325.31.30","FAC-2022-89504"
33,"2023-03-01","EC","TECNOLOGÍA","IMPORTACIÓN",584574.56,NA,287,21.17,"5032.15.42","FAC-2023-93275"
35,"2023-05-11","CO","RETAIL","IMPORTACIÓN",214980.01,34.7,491,20.74,"4431.73.60","FAC-2023-16076"
36,"2022-11-12","CH","MANUFACTURA","IMPORTACIÓN",63392.97,765.8,121,14.79,"8690.84.61","FAC-2022-42029"
37,"2024-05-22","CH","MANUFACTURA","IMPORTACIÓN",292859.08,283.7,495,8.87,"6403.89.85","FAC-2024-32159"
38,"2022-10-11","AR","TECNOLOGÍA","IMPORTACIÓN",451176.22,8.9,432,12.27,"7423.66.18","FAC-2022-53399"
39,"2024-06-04","ES","FINANZAS","IMPORTACIÓN",171391.71,0,197,12.27,"3349.38.76","FAC-2024-55224"
40,"2024-06-27","US","FINANZAS","EXPORTACIÓN",193686.22,0,267,6.33,"3507.14.96","FAC-2024-43353"
41,"2023-11-05","CO","TECNOLOGÍA","IMPORTACIÓN",265159.3,5.9,272,23.87,"6477.97.89","FAC-2023-91628"
42,"2024-01-15","AL","LOGÍSTICA","EXPORTACIÓN",105635.78,40.2,415,20.74,"6078.83.39","FAC-2024-87449"
43,"2024-06-15","US","TECNOLOGÍA","EXPORTACIÓN",373778.11,23.7,74,18.55,"0723.28.19","FAC-2024-86520"
44,"2022-10-28","EC","TECNOLOGÍA","IMPORTACIÓN",171175.7,14.1,193,0.71,"7373.28.82","FAC-2022-74517"
45,"2023-09-01","AR","LOGÍSTICA","EXPORTACIÓN",19858.78,505.6,224,18.82,"8969.48.51","FAC-2023-84393"
47,"2023-01-05","US","LOGÍSTICA","EXPORTACIÓN",117793.77,242.3,53,12.64,"5110.85.82","FAC-2023-96827"
48,"2023-05-28","ES","FINANZAS","EXPORTACIÓN",222861.13,0,268,0.25,"7356.48.58","FAC-2023-29448"
49,"20 de diciembre 2024","CH","MANUFACTURA","EXPORTACIÓN",131316.02,430.2,143,4.35,"5872.80.41","FAC-2024-23357"
50,"2023-09-01","BR","RETAIL","EXPORTACIÓN",35242.85,58.1,302,21.58,"7881.68.72","FAC-2023-94875"
51,"2022-11-10","CO","EDUCACIÓN","EXPORTACIÓN",26427.83,14.7,114,7.73,"3431.54.81","FAC-2022-20888"
52,"2023-07-23","EC","TECNOLOGÍA","EXPORTACIÓN",663875,31.3,64,11.65,"6946.36.67","FAC-2023-44735"
53,"2023-03-23","AL","TECNOLOGÍA","EXPORTACIÓN",372004.31,6.3,443,19.2,"1766.23.61","FAC-2023-24022"
54,"2022-04-11","AL","MINERÍA","IMPORTACIÓN",263102.62,2837.1,351,24.59,"9920.92.61","FAC-2022-35927"
55,"2022-07-03","PE","AGROINDUSTRIA","IMPORTACIÓN",90788.72,1246.2,169,22.49,"4285.79.56","FAC-2022-97612"
56,"2024-12-12","CH","FINANZAS","EXPORTACIÓN",295870.4,0,48,11.68,"5315.68.74","FAC-2024-56182"
57,"2022-06-28","CO","TECNOLOGÍA","IMPORTACIÓN",308476.75,30.9,17,14.72,"6292.73.81","FAC-2022-20372"
58,"2023-05-23","AL","EDUCACIÓN","IMPORTACIÓN",64841.3,18.8,38600,21.64,"6394.60.48","FAC-2023-96409"
59,"2022-06-25","AL","MANUFACTURA","IMPORTACIÓN",214172.66,504.3,409,7.53,"6823.16.76","FAC-2022-42960"
60,"2023-12-04","US","LOGÍSTICA","EXPORTACIÓN",195687.23,NA,10,16.99,"9887.61.23","FAC-2023-88176"
61,"2024-08-19","ES","MINERÍA","EXPORTACIÓN",283254.03,1821.2,141,0.83,"4641.99.38","FAC-2024-14932"
62,"2024-12-06","ES","EDUCACIÓN","EXPORTACIÓN",55318.61,5.4,481,7.97,"4673.29.12","FAC-2024-62345"
65,"2023-11-15","AL","FINANZAS","IMPORTACIÓN",440246.21,0,326,11.45,"2490.82.22","FAC-2023-15723"
66,"2022-03-20","US","FINANZAS","EXPORTACIÓN",343027.08,0,442,12.27,"9867.68.16","FAC-2022-45412"
67,"2022-03-27","CO","LOGÍSTICA","EXPORTACIÓN",146426.82,230.9,213,0.5,"8888.55.18","FAC-2022-25518"
68,"2023-04-15","US","MANUFACTURA","EXPORTACIÓN",156347.18,338.3,190,15.43,"9139.88.85","FAC-2023-27556"
69,"2022-06-28","BR","FINANZAS","IMPORTACIÓN",354184.88,0,42,15.68,"9357.13.66","FAC-2022-42214"
70,"2024-05-20","US","EDUCACIÓN","IMPORTACIÓN",39199.2,4,176,24.53,"5493.44.39","FAC-2024-71863"
71,"2023-06-24","MÉ","AGROINDUSTRIA","IMPORTACIÓN",70170.08,1548.2,219,20.13,"9936.12.35","FAC-2023-43545"
72,"2023-12-28","CO","AGROINDUSTRIA","EXPORTACIÓN",70225.74,1325.8,251,4.51,"6585.77.43","FAC-2023-52477"
73,"2024-01-13","ES","EDUCACIÓN","EXPORTACIÓN",39265.27,4.5,268,23.42,"4214.15.73","FAC-2024-50563"
74,"2023-12-11","ES","RETAIL","IMPORTACIÓN",47151.88,185.2,431,15.27,"7638.30.13","FAC-2023-87510"
75,"2024-12-06","US","FINANZAS","EXPORTACIÓN",315986.52,0,367,20.57,"3230.32.81","FAC-2024-37106"
76,"2023-03-05","ES","EDUCACIÓN","EXPORTACIÓN",61045.18,7.5,196,7.93,"7937.32.74","FAC-2023-90528"
77,"2022-05-11","CO","MANUFACTURA","IMPORTACIÓN",51296.19,360.5,192,15.93,"7253.75.42","FAC-2022-29853"
78,"2024-01-17","CH","RETAIL","IMPORTACIÓN",64200.33,93.9,385,3.86,"1816.35.66","FAC-2024-10863"
79,"2024-06-19","CH","TECNOLOGÍA","EXPORTACIÓN",487692.38,29.7,373,12.27,"2151.34.54","FAC-2024-14112"
81,"2024-02-26","BR","LOGÍSTICA","IMPORTACIÓN",60470.03,219.2,121,15.46,"7297.93.11","FAC-2024-55351"
82,"2023-09-13","AR","LOGÍSTICA","IMPORTACIÓN",170400.23,547.6,411,0.19,"2965.46.44","FAC-2023-44668"
83,"2022-02-25","PE","MANUFACTURA","EXPORTACIÓN",304680.02,582.4,462,23.75,"7543.67.30","FAC-2022-87892"
84,"2024-06-23","BR","LOGÍSTICA","EXPORTACIÓN",35291.06,289.2,459,13.61,"2631.85.21","FAC-2024-35950"
85,"2023-02-22","BR","MINERÍA","IMPORTACIÓN",1039805.9,3673,95,4.3,"2989.38.53","FAC-2023-99972"
87,"2023-03-23","EC","AGROINDUSTRIA","EXPORTACIÓN",141983.01,NA,472,12.27,"5551.32.86","FAC-2023-92505"
88,"2023-04-20","US","MANUFACTURA","EXPORTACIÓN",319458.86,480.3,237,11.88,"5355.85.48","FAC-2023-67392"
89,"2022-02-17","US","TECNOLOGÍA","IMPORTACIÓN",481222,3.8,473,16.48,"7463.98.50","FAC-2022-56152"
90,"2023-12-19","US","MANUFACTURA","IMPORTACIÓN",309523.27,799.3,128,9.53,"7880.77.62","FAC-2023-19658"
91,"2023-08-22","CH","TECNOLOGÍA","IMPORTACIÓN",205093.87,32.1,121,13.23,"1264.31.14","FAC-2023-35967"
92,"2023-01-08","EC","EDUCACIÓN","IMPORTACIÓN",11749.55,8.3,231,7.35,"7162.15.71","FAC-2023-53444"
93,"2022-04-04","EC","TECNOLOGÍA","EXPORTACIÓN",547633.66,3.7,462,9.7,"9846.97.88","FAC-2022-16675"
94,"2024-12-08","US","RETAIL","EXPORTACIÓN",235568.08,NA,488,21.22,"2210.72.51","fac-2024-46458"
96,"2022-10-07","MÉ","MINERÍA","IMPORTACIÓN",896060.22,3020,422,17.89,"4517.98.84","FAC-2022-12239"
97,"2022-09-02","US","EDUCACIÓN","IMPORTACIÓN",22258.27,16.3,325,18.46,"9906.94.74","FAC-2022-34768"
98,"2024-10-19","CH","EDUCACIÓN","IMPORTACIÓN",76899.82,6.7,447,24.81,"7359.28.50","FAC-2024-33639"
99,"2024-12-01","CH","EDUCACIÓN","EXPORTACIÓN",52747.78,12.9,314,7.48,"9274.96.27","FAC-2024-78113"
100,"2024-06-03","CH","MINERÍA","IMPORTACIÓN",788713.76,1680.4,404,3.58,"0861.41.38","FAC-2024-52888"
101,"2022-01-19","CO","MANUFACTURA","IMPORTACIÓN",306356.64,243.2,470,2.38,"5308.45.93","FAC-2022-27392"
102,"2022-11-07","AR","LOGÍSTICA","IMPORTACIÓN",27199.9,330.9,152,12.27,"9542.16.68","FAC-2022-33224"
103,"2023-10-06","CO","AGROINDUSTRIA","IMPORTACIÓN",153199.56,264.3,260,5.41,"6036.11.64","FAC-2023-42329"
104,"2023-05-22","ES","TECNOLOGÍA","IMPORTACIÓN",699634.8,33.9,314,7.46,"0944.45.91","FAC-2023-46291"
105,"2023-02-22","EC","MANUFACTURA","IMPORTACIÓN",135028.36,734.8,208,13.8,"6759.11.99","FAC-2023-78493"
106,"04/26/2024","MÉ","LOGÍSTICA","EXPORTACIÓN",160153.13,337.1,267,0.14,"8335.94.38","FAC-2024-55054"
107,"2022-09-17","PE","FINANZAS","EXPORTACIÓN",398369.5,0,141,6.34,"4639.52.76","FAC-2022-88085"
109,"2022-02-02","AL","AGROINDUSTRIA","IMPORTACIÓN",95887.76,157.5,289,23.92,"8852.48.68","FAC-2022-17852"
110,"2023-03-15","MÉ","RETAIL","IMPORTACIÓN",131577.16,16,116,15.11,"0636.64.18","FAC-2023-54588"
111,"2023-06-08","BR","FINANZAS","EXPORTACIÓN",161407.99,0,205,21.36,"5444.99.47","FAC-2023-61968"
112,"2024-07-27","ES","FINANZAS","IMPORTACIÓN",377072.5,0,346,22.07,"5054.87.98","FAC-2024-45860"
113,"2024-08-26","BR","LOGÍSTICA","EXPORTACIÓN",191156.32,475.5,476,14.82,"3263.82.70","FAC-2024-51085"
114,"2022-06-22","CH","TECNOLOGÍA","EXPORTACIÓN",446242.16,37,485,20.79,"1586.80.18","FAC-2022-57932"
115,"2022-04-17","ES","EDUCACIÓN","IMPORTACIÓN",15083.14,17.9,125,18.25,"9160.95.85","FAC-2022-85650"
116,"2022-08-05","CO","LOGÍSTICA","IMPORTACIÓN",94771.34,200.5,329,12.27,"4108.65.61","FAC-2022-30191"
117,"2024-07-14","BR","MINERÍA","EXPORTACIÓN",905367.29,2888.8,47800,10.32,"6818.59.41","FAC-2024-53288"
118,"2023-06-16","AL","EDUCACIÓN","IMPORTACIÓN",59167.33,12.4,385,22.12,"6537.41.58","FAC-2023-11430"
119,"2022-01-10","CO","TECNOLOGÍA","EXPORTACIÓN",637938.96,25.3,22000,19.73,"0240.50.64","FAC-2022-74229"
120,"2024-05-28","CH","MINERÍA","EXPORTACIÓN",208133.13,3548.2,263,16.76,"7101.57.97","FAC-2024-34344"
122,"2024-03-28","CH","MANUFACTURA","IMPORTACIÓN",99257.36,354.3,490,12.27,NA,"FAC-2024-98035"
124,"2024-03-15","BR","LOGÍSTICA","IMPORTACIÓN",46729.3,130.4,21,17.08,"1844.11.83","FAC-2024-27646"
125,"2022-09-17","AR","MANUFACTURA","EXPORTACIÓN",88264.99,718.2,83,1.69,"2744.36.80","FAC-2022-62545"
126,"2022-09-06","CH","MANUFACTURA","IMPORTACIÓN",165852.69,610.6,289,10.41,"8920.80.21","FAC-2022-68785"
127,"2023-01-18","CO","LOGÍSTICA","IMPORTACIÓN",60029.61,114,392,20.03,"7741.49.74","FAC-2023-26182"
128,"2023-07-26","BR","TECNOLOGÍA","EXPORTACIÓN",526039.58,33.1,219,21.89,"8115.88.88","FAC-2023-89293"
130,"2023-11-03","MÉ","LOGÍSTICA","IMPORTACIÓN",145878.02,41.9,461,16.98,NA,"FAC-2023-42441"
131,"2022-09-05","ES","MINERÍA","IMPORTACIÓN",597975.46,NA,90,9.23,"7853.24.25","fac-2022-47957"
132,"2022-07-08","US","FINANZAS","EXPORTACIÓN",186728.94,0,268,5.65,"8701.70.71","FAC-2022-57626"
133,"2024-10-16","CH","MINERÍA","IMPORTACIÓN",388552.07,564.7,96,12.27,"2371.37.88","FAC-2024-26706"
135,"2024-03-09","CH","TECNOLOGÍA","EXPORTACIÓN",442859.11,16.5,147,5.09,"2976.67.30","FAC-2024-41230"
136,"2023-12-08","BR","RETAIL","IMPORTACIÓN",276289.08,111.7,433,18,"8371.38.69","FAC-2023-16973"
137,"2024-04-14","PE","FINANZAS","IMPORTACIÓN",186900.67,0,490,12.1,"5572.61.57","FAC-2024-15061"
139,"03/12/2023","US","AGROINDUSTRIA","IMPORTACIÓN",81512.06,980.6,479,3.21,"1852.51.46","FAC-2023-65652"
140,"2023-10-20","MÉ","RETAIL","EXPORTACIÓN",114869.15,87.7,437,18.94,"9424.85.75","FAC-2023-11020"
142,"2022-02-06","US","AGROINDUSTRIA","EXPORTACIÓN",44486.52,375.6,14,0.27,"6073.51.39","FAC-2022-60540"
143,"2023-06-21","CO","TECNOLOGÍA","IMPORTACIÓN",493688.49,14.9,42,12.27,"7589.53.59","FAC-2023-79963"
144,"2023-08-15","CO","MANUFACTURA","EXPORTACIÓN",304739.88,342.8,383,23.14,"2772.56.16","FAC-2023-14528"
145,"06/26/2022","US","EDUCACIÓN","EXPORTACIÓN",60576.54,8.9,273,19.09,"0381.76.33","FAC-2022-37912"
146,"2022-05-03","EC","MANUFACTURA","IMPORTACIÓN",86564.77,438.9,225,23.91,"9126.99.11","FAC-2022-92221"
147,"2023-07-07","ES","RETAIL","IMPORTACIÓN",216464.74,13.9,29500,9.33,"6802.10.51","FAC-2023-13624"
148,"2023-04-27","BR","EDUCACIÓN","EXPORTACIÓN",80767.45,4.9,332,8.22,"6687.84.91","FAC-2023-40562"
149,"02/10/2023","AR","LOGÍSTICA","IMPORTACIÓN",160966.61,239.6,498,18.42,"7669.34.59","FAC-2023-51896"
150,"2023-10-24","AR","LOGÍSTICA","IMPORTACIÓN",113761.86,43.2,268,6.02,"0707.46.73","FAC-2023-95755"
151,"2024-09-27","PE","LOGÍSTICA","EXPORTACIÓN",55179.08,139.9,445,22.98,"1701.78.13","FAC-2024-80564"
152,"2024-06-02","MÉ","MANUFACTURA","IMPORTACIÓN",312665.27,NA,471,5.84,"7308.59.82","FAC-2024-39428"
153,"2023-09-28","US","MANUFACTURA","IMPORTACIÓN",322000.85,476,415,17.33,"54157479","FAC-2023-23607"
154,"2023-05-03","BR","LOGÍSTICA","IMPORTACIÓN",80340.87,308.3,369,22.69,"3905.83.58","FAC-2023-17329"
155,"2024-03-20","AR","LOGÍSTICA","EXPORTACIÓN",144507.08,564.5,26,12.13,"7483.59.94","FAC-2024-91785"
156,"2024-10-10","BR","MINERÍA","IMPORTACIÓN",972773.46,2454.7,26,8.79,"6150.78.22","FAC-2024-86955"
157,"2023-12-14","US","LOGÍSTICA","IMPORTACIÓN",160013.97,304.9,408,7.63,"8241.57.20","FAC-2023-61352"
159,"2022-10-06","CO","AGROINDUSTRIA","IMPORTACIÓN",113766.59,933.5,30,19.78,"4921.12.72","FAC-2022-10946"
160,"2023-02-14","ES","FINANZAS","IMPORTACIÓN",340473.34,0,356,18.95,"5033.71.72","FAC-2023-80185"
161,"2023-09-17","BR","RETAIL","EXPORTACIÓN",247936.39,53.3,175,14.15,"4025.52.76","FAC-2023-46506"
162,"2024-07-16","ES","EDUCACIÓN","EXPORTACIÓN",61784.47,19.4,400,23.17,"5535.83.61","FAC-2024-31499"
163,"2024-05-21","CH","TECNOLOGÍA","IMPORTACIÓN",325891.91,31.5,119,1.4,"2985.68.38","FAC-2024-99216"
164,"2022-04-07","AL","AGROINDUSTRIA","EXPORTACIÓN",98827.92,420.5,34,9.89,"1356.45.46","FAC-2022-40999"
165,"2023-04-16","CH","FINANZAS","IMPORTACIÓN",332151.39,0,327,24.44,"1772.15.84","FAC-2023-32264"
166,"2024-10-20","EC","RETAIL","IMPORTACIÓN",203609.36,20.8,404,18.1,"3382.75.52","FAC-2024-42931"
167,"2023-03-26","CH","MINERÍA","IMPORTACIÓN",509243.31,1855.6,50,7.76,"4322.19.75","FAC-2023-79547"
168,"2022-05-10","EC","AGROINDUSTRIA","IMPORTACIÓN",103428.13,584,347,14.82,"2836.32.43","FAC-2022-26607"
169,"2024-12-08","BR","AGROINDUSTRIA","EXPORTACIÓN",53034.82,1739.5,283,23.72,"5561.97.41","FAC-2024-28993"
170,"2024-06-04","BR","TECNOLOGÍA","IMPORTACIÓN",688104.87,4.6,154,7.77,"5902.57.35","FAC-2024-49834"
171,"2022-04-27","US","MANUFACTURA","EXPORTACIÓN",228770.73,795.8,24,2.48,"4319.27.14","FAC-2022-71925"
172,"2023-11-06","US","AGROINDUSTRIA","IMPORTACIÓN",140654.95,1748.8,209,15.49,"7305.13.96","FAC-2023-46647"
174,"2024-11-27","BR","AGROINDUSTRIA","IMPORTACIÓN",142608.98,142.2,178,7.51,"5207.85.48","FAC-2024-43769"
175,"2023-10-05","US","EDUCACIÓN","EXPORTACIÓN",37252.19,17.1,155,4.16,"9269.46.33","FAC-2023-97340"
176,"2023-01-06","ES","MANUFACTURA","IMPORTACIÓN",167639.21,796.1,12,18.54,NA,"FAC-2023-77075"
177,"2023-10-14","CH","TECNOLOGÍA","EXPORTACIÓN",102278.36,28.4,232,8.56,"2385.95.19","FAC-2023-85260"
178,"2024-05-23","AR","TECNOLOGÍA","EXPORTACIÓN",575801.45,26.7,220,18.75,"7013.91.66","FAC-2024-14277"
179,"2024-05-24","AL","AGROINDUSTRIA","IMPORTACIÓN",85456.07,695.6,107,4.26,"5360.69.51","FAC-2024-62853"
180,"2022-02-06","AL","TECNOLOGÍA","IMPORTACIÓN",359716.23,37.1,50,20.29,"9448.70.43","FAC-2022-81817"
181,"2022-05-13","EC","FINANZAS","IMPORTACIÓN",266893.71,0,470,2.73,"1451.65.35","FAC-2022-18450"
182,"2024-03-05","AL","TECNOLOGÍA","EXPORTACIÓN",178092.09,23.4,206,1.82,"7375.62.32","FAC-2024-55187"
183,"2024-10-23","AL","TECNOLOGÍA","EXPORTACIÓN",531445.48,28.2,221,21.07,"6333.86.11","fac-2024-61834"
184,"2022-08-26","CH","EDUCACIÓN","IMPORTACIÓN",22391.88,1.6,89,14.17,"9553.31.22","FAC-2022-52854"
185,"2024-01-18","AR","EDUCACIÓN","IMPORTACIÓN",52232,17.2,151,12.73,"6539.24.62","FAC-2024-47876"
186,"2024-02-23","CO","TECNOLOGÍA","EXPORTACIÓN",547590.91,16,268,8.15,"3327.74.15","FAC-2024-19593"
187,"2022-01-16","MÉ","TECNOLOGÍA","EXPORTACIÓN",380167.9,32.6,451,10.91,"1041.83.64","FAC-2022-93904"
188,"2024-08-21","ES","MINERÍA","EXPORTACIÓN",809369.57,2189.2,267,12.27,"1077.57.48","FAC-2024-64055"
189,"2022-08-10","BR","EDUCACIÓN","IMPORTACIÓN",72730.38,7.5,14,12.3,"3902.65.47","FAC-2022-10946"
190,"2024-01-11","CO","EDUCACIÓN","EXPORTACIÓN",73976.28,19.5,210,17.72,"4602.11.83","FAC-2024-70690"
191,"2024-08-10","CH","EDUCACIÓN","IMPORTACIÓN",77918.15,14.7,496,9.54,"1581.69.64","FAC-2024-73871"
192,"2023-10-11","MÉ","LOGÍSTICA","EXPORTACIÓN",89483.45,189.4,77,17.15,"9335.40.81","FAC-2023-59923"
193,"2022-02-13","PE","TECNOLOGÍA","EXPORTACIÓN",579130.93,5.2,295,15.16,"2967.58.67","FAC-2022-48974"
194,"2023-02-26","CO","TECNOLOGÍA","EXPORTACIÓN",138998.89,2.2,268,6.29,"3765.95.81","FAC-2023-21272"
196,"2022-10-02","MÉ","AGROINDUSTRIA","IMPORTACIÓN",123687.94,823.1,192,1.41,"3183.49.85","FAC-2022-18585"
197,"2022-01-05","PE","LOGÍSTICA","IMPORTACIÓN",188961.54,103.9,346,1.92,"7027.73.55","FAC-2022-38873"
199,"2024-01-07","ES","MANUFACTURA","EXPORTACIÓN",122265.33,350.8,318,12.27,"8718.44.54","FAC-2024-57066"
201,"2022-09-09","PE","TECNOLOGÍA","EXPORTACIÓN",527129.38,27.8,361,6.01,"4078.52.67","FAC-2022-37100"
202,"2024-11-25","ES","TECNOLOGÍA","EXPORTACIÓN",99927.92,39.8,426,11.01,"2679.60.32","FAC-2024-24212"
203,"2023-06-13","AR","LOGÍSTICA","IMPORTACIÓN",186524.27,421.3,340,11.31,"5074.54.56","FAC-2023-74350"
204,"25 de enero 2024","BR","LOGÍSTICA","IMPORTACIÓN",63800.63,95.2,248,19.17,"7896.24.30","FAC-2024-24168"
205,"2022-02-05","CO","EDUCACIÓN","IMPORTACIÓN",38029.54,11.1,450,17.01,"6997.44.92","FAC-2022-48469"
206,"2024-12-03","AR","LOGÍSTICA","IMPORTACIÓN",129923.02,494.8,109,12.27,"2353.74.23","FAC-2024-75951"
207,"2023-03-28","MÉ","AGROINDUSTRIA","EXPORTACIÓN",102280.47,1428.9,130,10.21,"18407964","FAC-2023-11374"
209,"2022-07-06","MÉ","MANUFACTURA","IMPORTACIÓN",382247.82,789.3,77,11.16,"1362.57.39","FAC-2022-26791"
210,"2024-06-16","BR","MINERÍA","IMPORTACIÓN",904725.42,661.4,326,5.6,"1814.51.98","FAC-2024-39667"
211,"2022-04-04","MÉ","EDUCACIÓN","EXPORTACIÓN",55948.36,12.3,23,17.2,"6578.70.93","FAC-2022-60785"
212,"2024-11-28","PE","MINERÍA","EXPORTACIÓN",469012.19,332,274,16.94,"1697.67.32","FAC-2024-31910"
213,"2024-01-03","PE","FINANZAS","IMPORTACIÓN",84663.65,0,411,12.27,"8196.87.13","FAC-2024-56312"
214,"2023-09-05","AR","MINERÍA","IMPORTACIÓN",462877.7,258.6,231,13,"1661.77.97","FAC-2023-73608"
216,"2024-07-09","BR","AGROINDUSTRIA","EXPORTACIÓN",101680.91,964.6,415,12.27,"8819.69.97","FAC-2024-47982"
217,"2022-07-26","PE","TECNOLOGÍA","EXPORTACIÓN",196768.9,36.2,96,7.09,"8043.21.40","FAC-2022-39444"
218,"2023-04-02","ES","MANUFACTURA","IMPORTACIÓN",260324.2,688.1,270,4.65,"8731.61.25","FAC-2023-84668"
219,"4 de abril 2023","US","TECNOLOGÍA","EXPORTACIÓN",290930.51,13.2,317,2.42,"8238.20.70","FAC-2023-50416"
220,"2022-09-27","PE","MINERÍA","EXPORTACIÓN",812868.66,3610.9,316,0.13,"4116.15.26","FAC-2022-95542"
221,"2022-01-16","EC","EDUCACIÓN","EXPORTACIÓN",84707.72,17.2,19,12.27,"2749.33.94","FAC-2022-16849"
222,"2023-12-05","BR","TECNOLOGÍA","EXPORTACIÓN",183871.42,39.4,285,18.41,"8880.20.67","FAC-2023-62185"
223,"2023-07-04","US","TECNOLOGÍA","IMPORTACIÓN",425451.46,33.6,233,18.42,"8676.86.47","FAC-2023-24934"
224,"2024-06-27","PE","AGROINDUSTRIA","IMPORTACIÓN",62595.99,924.7,383,18.81,"7150.96.46","FAC-2024-80092"
225,"2022-02-19","US","TECNOLOGÍA","EXPORTACIÓN",216348.28,37.4,304,13.25,"6468.10.29","FAC-2022-52909"
226,"2023-05-25","US","AGROINDUSTRIA","EXPORTACIÓN",144090.83,1409.4,470,16.95,"0452.89.38","FAC-2023-22121"
227,"2024-10-02","BR","TECNOLOGÍA","IMPORTACIÓN",564833.73,23,500,22.58,NA,"FAC-2024-61508"
228,"11 de octubre 2024","BR","TECNOLOGÍA","EXPORTACIÓN",549590.38,34.1,291,8.85,"8747.92.13","FAC-2024-97349"
229,"2022-09-19","CO","FINANZAS","EXPORTACIÓN",427210.27,0,434,6.72,"2734.37.69","FAC-2022-25112"
230,"01/11/2024","ES","AGROINDUSTRIA","EXPORTACIÓN",70008.74,445,138,20.71,"9992.41.59","FAC-2024-68059"
231,"2023-06-22","ES","AGROINDUSTRIA","EXPORTACIÓN",108912.03,NA,55,8.08,"5266.10.94","FAC-2023-70552"
232,"2022-02-04","EC","EDUCACIÓN","EXPORTACIÓN",11833.69,13.3,382,21.54,"2569.67.27","FAC-2022-46509"
